,compartment,outflow_to,offense,age,compartment_duration,rate_by_age,rate_by_offense,total_population,time_step
748,release,prison,Violent personal,75,1.0,0.08,0.11,0.095,
749,release,prison,Violent personal,75,2.0,0.04,0.08,0.06,
750,release,prison,Violent personal,75,3.0,0.04,0.07,0.055,
751,release,release_permanently,Violent personal,75,3.0,,,0.79,
752,release,prison,Weapons,75,1.0,0.08,0.08,0.08,
753,release,prison,Weapons,75,2.0,0.04,0.11,0.075,
754,release,prison,Weapons,75,3.0,0.04,0.09,0.065,
755,release,release_permanently,Weapons,75,3.0,,,0.78,
756,release,prison,Burglary,76,1.0,0.08,0.1,0.09,
757,release,prison,Burglary,76,2.0,0.04,0.11,0.075,
758,release,prison,Burglary,76,3.0,0.04,0.08,0.06,
759,release,release_permanently,Burglary,76,3.0,,,0.775,
760,release,prison,Drug offenses,76,1.0,0.08,0.05,0.065,
761,release,prison,Drug offenses,76,2.0,0.04,0.07,0.055,
762,release,prison,Drug offenses,76,3.0,0.04,0.07,0.055,
763,release,release_permanently,Drug offenses,76,3.0,,,0.825,
764,release,prison,murder/manslaughter,76,1.0,0.08,0.07,0.075,
765,release,prison,murder/manslaughter,76,2.0,0.04,0.06,0.05,
766,release,prison,murder/manslaughter,76,3.0,0.04,0.05,0.045,
767,release,release_permanently,murder/manslaughter,76,3.0,,,0.83,
768,release,prison,Other,76,1.0,0.08,0.08,0.08,
769,release,prison,Other,76,2.0,0.04,0.11,0.075,
770,release,prison,Other,76,3.0,0.04,0.09,0.065,
771,release,release_permanently,Other,76,3.0,,,0.78,
772,release,prison,Robbery,76,1.0,0.08,0.1,0.09,
773,release,prison,Robbery,76,2.0,0.04,0.1,0.07,
774,release,prison,Robbery,76,3.0,0.04,0.08,0.06,
775,release,release_permanently,Robbery,76,3.0,,,0.78,
776,release,prison,Sexual offenses,76,1.0,0.08,0.13,0.105,
777,release,prison,Sexual offenses,76,2.0,0.04,0.09,0.065,
778,release,prison,Sexual offenses,76,3.0,0.04,0.06,0.05,
779,release,release_permanently,Sexual offenses,76,3.0,,,0.78,
780,release,prison,Theft/forgery/fraud,76,1.0,0.08,0.08,0.08,
781,release,prison,Theft/forgery/fraud,76,2.0,0.04,0.11,0.075,
782,release,prison,Theft/forgery/fraud,76,3.0,0.04,0.08,0.06,
783,release,release_permanently,Theft/forgery/fraud,76,3.0,,,0.785,
784,release,prison,Violent personal,76,1.0,0.08,0.11,0.095,
