fips,year,population
27005,2010,20132
27007,2010,29401
27009,2010,25854
27011,2010,3054
27013,2010,45975
27015,2010,16299
27017,2010,23199
27019,2010,61016
27021,2010,17447
27023,2010,7682
27025,2010,36372
27027,2010,40537
27029,2010,5281
27031,2010,3422
27033,2010,6945
27035,2010,39042
27037,2010,272510
27039,2010,12848
27041,2010,22414
27043,2010,8773
27045,2010,12674
27047,2010,19222
27049,2010,29591
27051,2010,3627
27053,2010,804419
27055,2010,12196
27057,2010,12517
27059,2010,25025
27061,2010,28476
27063,2010,6338
27065,2010,10421
27067,2010,27085
27069,2010,2724
27071,2010,8503
27073,2010,4289
27075,2010,6739
27077,2010,2579
27079,2010,17889
27081,2010,3347
27083,2010,17100
27085,2010,23334
27087,2010,3199
27089,2010,5811
27091,2010,12770
27093,2010,14568
27095,2010,16426
27097,2010,21155
27099,2010,24195
27101,2010,5176
27103,2010,22657
27105,2010,13400
27107,2010,4027
27109,2010,95546
27111,2010,35101
27113,2010,8961
27115,2010,19435
27117,2010,5732
27119,2010,20249
27121,2010,6711
27123,2010,349524
27125,2010,2527
27127,2010,9587
27129,2010,9699
27131,2010,43972
27133,2010,5768
27135,2010,10045
27137,2010,135998
27139,2010,87255
27141,2010,59866
27143,2010,9510
27145,2010,103436
27147,2010,23270
27149,2010,6405
27151,2010,6050
27153,2010,15511
27155,2010,1993
27157,2010,13871
27159,2010,8200
27161,2010,12504
27163,2010,161670
27165,2010,6802
27167,2010,4140
27169,2010,36392
27171,2010,81455
27173,2010,6396
28001,2010,21604
28003,2010,23659
28005,2010,8297
28007,2010,11916
28009,2010,5584
28011,2010,22756
28013,2010,9388
28015,2010,6897
28017,2010,11130
28019,2010,5365
28021,2010,6568
28023,2010,10583
28025,2010,13275
28027,2010,16667
28029,2010,19335
28031,2010,12450
28033,2010,107518
28035,2010,51419
28037,2010,5084
28039,2010,14742
28041,2010,10183
28043,2010,14207
28045,2010,28844
28047,2010,127296
28049,2010,165606
28051,2010,12440
28053,2010,5928
28055,2010,967
28057,2010,15310
28059,2010,92964
28061,2010,10953
28063,2010,5262
28065,2010,8032
28067,2010,43428
28069,2010,6824
28071,2010,35137
28073,2010,37717
28075,2010,52535
28077,2010,8329
28079,2010,14920
28081,2010,53814
28083,2010,21256
28085,2010,22468
28087,2010,39632
28089,2010,64323
28091,2010,17284
28093,2010,25236
28095,2010,23726
28097,2010,6857
28099,2010,18547
28101,2010,13814
28103,2010,7389
28105,2010,35922
28107,2010,22616
28109,2010,36248
28111,2010,7997
28113,2010,25645
28115,2010,19496
28117,2010,16417
28119,2010,5278
28121,2010,96359
28123,2010,18466
28125,2010,3174
28127,2010,17704
28129,2010,10459
28131,2010,12156
28133,2010,20005
28135,2010,10740
28137,2010,19212
28139,2010,14234
28141,2010,12370
28143,2010,7001
28145,2010,17408
28147,2010,9604
28149,2010,32086
28151,2010,33196
28153,2010,13407
28155,2010,6522
28157,2010,6633
28159,2010,12045
28161,2010,8043
28163,2010,18948
29001,2010,18308
29003,2010,11256
29005,2010,3505
29007,2010,16292
29009,2010,22257
29011,2010,7596
29013,2010,10532
29015,2010,11341
29017,2010,7922
29019,2010,119215
29021,2010,59232
29023,2010,27214
29025,2010,5893
29027,2010,30697
29029,2010,27600
29031,2010,51198
29033,2010,5749
29035,2010,4008
29037,2010,64299
29039,2010,8141
29041,2010,4689
29043,2010,50504
29045,2010,4469
29047,2010,149399
29049,2010,13316
29051,2010,51723
29053,2010,11626
29055,2010,15676
29057,2010,4817
29059,2010,10484
29061,2010,5128
29063,2010,9206
29065,2010,9719
29067,2010,8467
29069,2010,19970
29071,2010,66790
29073,2010,9396
29075,2010,4015
29077,2010,187832
29079,2010,6084
29081,2010,5221
29083,2010,13768
29085,2010,5424
29087,2010,3048
29089,2010,6704
29091,2010,25149
29093,2010,6751
29095,2010,452083
29097,2010,76385
29099,2010,148992
29101,2010,36970
29103,2010,2448
29105,2010,22676
29107,2010,21245
29109,2010,23889
29111,2010,6563
29113,2010,34726
29115,2010,7757
29117,2010,9608
29119,2010,14836
29121,2010,9418
29123,2010,7655
29125,2010,5743
29127,2010,18457
29129,2010,2223
29131,2010,15762
29133,2010,9494
29135,2010,10217
