fips,year,population
29131,2010,24716
29133,2010,14330
29135,2010,15626
29137,2010,8786
29139,2010,12207
29141,2010,20543
29143,2010,18934
29145,2010,58177
29147,2010,23401
29149,2010,10935
29151,2010,13905
29153,2010,9746
29155,2010,18261
29157,2010,18938
29159,2010,42274
29161,2010,45294
29163,2010,18476
29165,2010,89702
29167,2010,31157
29169,2010,52859
29171,2010,4974
29173,2010,10193
29175,2010,25458
29177,2010,23517
29179,2010,6676
29181,2010,14102
29183,2010,361803
29185,2010,9823
29186,2010,18127
29187,2010,65529
29189,2010,998840
29195,2010,23420
29197,2010,4441
29199,2010,4840
29201,2010,39261
29203,2010,8443
29205,2010,6365
29207,2010,30027
29209,2010,32235
29211,2010,6737
29213,2010,51902
29215,2010,26042
29217,2010,21159
29219,2010,32605
29221,2010,25201
29223,2010,13519
29225,2010,36320
29227,2010,2152
29229,2010,18779
29510,2010,319336
28001,2010,32574
28003,2010,37107
28005,2010,13138
28007,2010,19485
28009,2010,8694
28011,2010,34106
28013,2010,14968
28015,2010,10602
28017,2010,17440
28019,2010,8572
28021,2010,9581
28023,2010,16727
28025,2010,20560
28027,2010,26106
28029,2010,29434
28031,2010,19577
28033,2010,161778
28035,2010,74941
28037,2010,8110
28039,2010,22655
28041,2010,14389
28043,2010,21835
28045,2010,44089
28047,2010,187859
28049,2010,245720
28051,2010,19405
28053,2010,9334
28055,2010,1386
28057,2010,23419
28059,2010,139469
28061,2010,17018
28063,2010,7721
28065,2010,12462
28067,2010,67809
