,compartment,year,policy_total_population,control_total_population
145,probation,2021.083333293,24462.94737076532,24462.94737076532
146,probation,2021.166666626,24665.756126065495,24665.756126065495
147,probation,2021.249999959,24867.708361476478,24867.708361476478
148,probation,2021.333333292,25071.998544665283,25069.167996115677
149,probation,2021.416666625,25279.037554934795,25270.131080379462
150,probation,2021.499999958,25493.150667467566,25478.18051669186
151,probation,2021.583333291,25706.750063872823,25685.7196724072
152,probation,2021.666666624,25926.204285778596,25892.745037568162
153,probation,2021.749999957,26130.88498222716,25877.369179927235
154,probation,2021.83333329,26594.84703517237,25861.53456664632
155,probation,2021.916666623,27064.738692664047,25845.23860645898
156,probation,2021.999999956,27082.89421692709,25865.006111011357
157,probation,2022.083333289,27100.036457617156,25883.793178952074
158,probation,2022.166666622,27116.118620419897,25901.595519490096
159,probation,2022.249999955,27130.56174547774,25918.051876996982
160,probation,2022.333333288,27152.49649663447,25933.498702666388
161,probation,2022.416666621,27184.896828741894,25947.932650902723
162,probation,2022.499999954,27274.9758778017,26010.710593880103
163,probation,2022.583333287,27379.4080954786,26072.457955328566
164,probation,2022.66666662,27496.251227372184,26133.17165063918
165,probation,2022.749999953,27679.095569668436,26107.5928767716
166,probation,2022.833333286,27987.534485036005,26081.496378415763
167,probation,2022.916666619,28297.10022211017,26054.88584401374
168,probation,2022.999999952,28287.620801377456,26048.70560782787
169,probation,2023.083333285,28274.379854809682,26041.722075952453
170,probation,2023.166666618,28256.83668742113,26033.937359362448
171,probation,2023.249999951,28236.779368482683,26025.400546970322
172,probation,2023.333333284,28225.840926162382,26016.049988493316
173,probation,2023.416666617,28226.411270690085,26005.88773711101
174,probation,2023.49999995,28075.63567430078,26030.671832864155
175,probation,2023.583333283,27684.844885112805,26054.635363649377
176,probation,2023.666666616,27295.580797649065,26077.779863000258
177,probation,2023.749999949,27424.14223902586,26087.924257511015
178,probation,2023.833333282,27593.67101051161,26097.74722204853
179,probation,2023.916666615,27763.06393714288,26107.251737957038
180,probation,2023.999999948,27784.392463830554,26131.035521369977
181,probation,2024.083333281,27796.819824519796,26154.469059035724
182,probation,2024.166666614,27797.385135509423,26177.55205438737
183,probation,2024.249999947,27794.574882693272,26201.039789002276
184,probation,2024.33333328,27794.083016770794,26224.164295645012
185,probation,2024.416666613,27813.787841312776,26246.925276432128
186,probation,2024.499999946,27689.060383057054,26262.299902863295
187,probation,2024.583333279,27433.985783907214,26277.31772184293
188,probation,2024.666666612,27180.51397878916,26291.977347133063
189,probation,2024.749999945,27269.01297015056,26319.755588873322
190,probation,2024.833333278,27368.24432145836,26347.427978206637
191,probation,2024.916666611,27467.391630214403,26374.992223857458
192,probation,2024.999999944,27505.142714826496,26412.20331262469
