,offense_code,compartment,compartment_duration,total_population,outflow_to,offense_group,time_step
7556,WPN5297,prison,2.0273785075,2,release,,
7557,WPN5297,prison,2.0410677616666666,1,release,,
7558,WPN5297,prison,2.0821355233333336,2,release,,
7559,WPN5297,prison,2.083333333333333,1,release,,
7560,WPN5297,prison,2.109514031666667,1,release,,
7561,WPN5297,prison,2.1642710475,1,release,,
7562,WPN5297,prison,2.1666666666666665,1,release,,
7563,WPN5297,prison,2.2464065708333334,1,release,,
7564,WPN5297,prison,2.25,5,release,,
7565,WPN5297,prison,2.333333333333333,2,release,,
7566,WPN5297,prison,2.4166666666666665,3,release,,
7567,WPN5297,prison,2.5,33,release,,
7568,WPN5297,prison,2.6666666666666665,2,release,,
7569,WPN5297,prison,2.75,5,release,,
7570,WPN5297,prison,2.833333333333333,1,release,,
7571,WPN5297,prison,3.0,70,release,,
7572,WPN5297,prison,3.1666666666666665,1,release,,
7573,WPN5297,prison,3.333333333333333,1,release,,
7574,WPN5297,prison,3.5,11,release,,
7575,WPN5297,prison,3.583333333333333,1,release,,
7576,WPN5297,prison,3.75,2,release,,
7577,WPN5297,prison,4.0,21,release,,
7578,WPN5297,prison,4.013689254166667,1,release,,
7579,WPN5297,prison,4.5,3,release,,
7580,WPN5297,prison,4.75,1,release,,
7581,WPN5297,prison,5.0,13,release,,
7582,WPN5297,prison,5.833333333333332,1,release,,
7583,WPN5297,prison,6.5,1,release,,
7584,WPN5297,prison,7.0,2,release,,
7640,LIC6834,release,30.0,1,release,,
7651,NAR3038,release,30.0,1,release,,
