,compartment,outflow_to,tis_percentage,compartment_duration,total_population,time_step
6,prison,,50%,,2656.0,6.0
7,prison,,50%,,2656.0,7.0
8,prison,,50%,,2656.0,8.0
9,prison,,50%,,2656.0,9.0
10,prison,,50%,,2656.0,10.0
11,prison,,50%,,2656.0,11.0
12,prison,,85%,,1173.0,0.0
13,prison,,85%,,1173.0,1.0
14,prison,,85%,,1173.0,2.0
15,prison,,85%,,1173.0,3.0
16,prison,,85%,,1173.0,4.0
17,prison,,85%,,1173.0,5.0
18,prison,,85%,,1173.0,6.0
19,prison,,85%,,1173.0,7.0
20,prison,,85%,,1173.0,8.0
21,prison,,85%,,1173.0,9.0
22,prison,,85%,,1173.0,10.0
23,prison,,85%,,1173.0,11.0
24,prison,,100%,,2443.0,0.0
25,prison,,100%,,2443.0,1.0
26,prison,,100%,,2443.0,2.0
27,prison,,100%,,2443.0,3.0
28,prison,,100%,,2443.0,4.0
29,prison,,100%,,2443.0,5.0
30,prison,,100%,,2443.0,6.0
31,prison,,100%,,2443.0,7.0
32,prison,,100%,,2443.0,8.0
33,prison,,100%,,2443.0,9.0
34,prison,,100%,,2443.0,10.0
35,prison,,100%,,2443.0,11.0
0,prison,,50%,,2687.0,12.0
1,prison,,50%,,2687.0,13.0
2,prison,,50%,,2687.0,14.0
3,prison,,50%,,2687.0,15.0
4,prison,,50%,,2687.0,16.0
5,prison,,50%,,2687.0,17.0
6,prison,,50%,,2687.0,18.0
7,prison,,50%,,2687.0,19.0
8,prison,,50%,,2687.0,20.0
9,prison,,50%,,2687.0,21.0
10,prison,,50%,,2687.0,22.0
11,prison,,50%,,2687.0,23.0
12,prison,,85%,,1251.0,12.0
13,prison,,85%,,1251.0,13.0
14,prison,,85%,,1251.0,14.0
15,prison,,85%,,1251.0,15.0
16,prison,,85%,,1251.0,16.0
17,prison,,85%,,1251.0,17.0
18,prison,,85%,,1251.0,18.0
19,prison,,85%,,1251.0,19.0
20,prison,,85%,,1251.0,20.0
21,prison,,85%,,1251.0,21.0
22,prison,,85%,,1251.0,22.0
23,prison,,85%,,1251.0,23.0
24,prison,,100%,,2598.0,12.0
25,prison,,100%,,2598.0,13.0
26,prison,,100%,,2598.0,14.0
27,prison,,100%,,2598.0,15.0
28,prison,,100%,,2598.0,16.0
29,prison,,100%,,2598.0,17.0
30,prison,,100%,,2598.0,18.0
31,prison,,100%,,2598.0,19.0
32,prison,,100%,,2598.0,20.0
33,prison,,100%,,2598.0,21.0
34,prison,,100%,,2598.0,22.0
35,prison,,100%,,2598.0,23.0
0,prison,,50%,,792.0,24.0
1,prison,,50%,,792.0,25.0
2,prison,,50%,,792.0,26.0
3,prison,,50%,,792.0,27.0
4,prison,,50%,,792.0,28.0
5,prison,,50%,,792.0,29.0
6,prison,,50%,,792.0,30.0
7,prison,,50%,,792.0,31.0
8,prison,,50%,,792.0,32.0
9,prison,,50%,,792.0,33.0
10,prison,,50%,,792.0,34.0
11,prison,,50%,,792.0,35.0
12,prison,,85%,,2211.0,24.0
13,prison,,85%,,2211.0,25.0
14,prison,,85%,,2211.0,26.0
15,prison,,85%,,2211.0,27.0
16,prison,,85%,,2211.0,28.0
17,prison,,85%,,2211.0,29.0
18,prison,,85%,,2211.0,30.0
19,prison,,85%,,2211.0,31.0
20,prison,,85%,,2211.0,32.0
21,prison,,85%,,2211.0,33.0
22,prison,,85%,,2211.0,34.0
