statute_code,is_assaultive_misdemeanor,requires_so_registration,is_excluded_from_trs,is_excluded_from_parole_ed,is_excluded_from_probation_ed,is_owi_ouil
750.335A2B,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
750.335A2C,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
750.338,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.338-A,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.338A,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.338A-A,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.338B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.338B-A,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.345,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.349,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.3491E,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.349A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.349B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.349S,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.350,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.350A1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.352,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.357B,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.3942B,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.397,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.397A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.411H,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
750.411H2B,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
750.411I,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
750.411I2B,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
750.411X2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
750.4362,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.4362A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.4362B,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.4362C,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.4362D,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.4362E,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.448,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.449A2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.455,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.462,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462B1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462B2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462B4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462C1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462C4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462DA2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462DA4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462DB1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462DB2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462DB4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462EA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
750.462EB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462F1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462F3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462G,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462H1A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462H1B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462J1A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.462J1B,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.479B,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.479B1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.479B2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.496,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.50C3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.50C4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.520B,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520B1A,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520B1B,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520B1C,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520B1D,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520B1E,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520B1F,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520B1G,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520B1H,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520B2B,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520B2C,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520C,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520C1A,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520C1B,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520C1C,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520C1D,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520C1E,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520C1F,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520C1G,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520C1H,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520C1I,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520C1J,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520C1K,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520C1L,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520C2B,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520D,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520D1A,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520D1B,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520D1C,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520D1D,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520D1E,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520D1F,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520D1G,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520E,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520E1A,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520E1A-A,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520E1AA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520E1B,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520E1C,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520E1E,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520E1EA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520E1F,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520E1FA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520E1G,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520E1GA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520E1H,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.520G,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520G1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520G2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
750.520N,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.529,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
