county_fips,geoid
26129,0500000US26129
26131,0500000US26131
26133,0500000US26133
26135,0500000US26135
26137,0500000US26137
26139,0500000US26139
26141,0500000US26141
26143,0500000US26143
26145,0500000US26145
26147,0500000US26147
26149,0500000US26149
26151,0500000US26151
26153,0500000US26153
26155,0500000US26155
26157,0500000US26157
26159,0500000US26159
26161,0500000US26161
26163,0500000US26163
26165,0500000US26165
27001,0500000US27001
27003,0500000US27003
27005,0500000US27005
27007,0500000US27007
27009,0500000US27009
27011,0500000US27011
27013,0500000US27013
27015,0500000US27015
27017,0500000US27017
27019,0500000US27019
27021,0500000US27021
27023,0500000US27023
27025,0500000US27025
27027,0500000US27027
27029,0500000US27029
27031,0500000US27031
27033,0500000US27033
27035,0500000US27035
27037,0500000US27037
27039,0500000US27039
27041,0500000US27041
27043,0500000US27043
27045,0500000US27045
27047,0500000US27047
27049,0500000US27049
27051,0500000US27051
27053,0500000US27053
27055,0500000US27055
27057,0500000US27057
27059,0500000US27059
27061,0500000US27061
27063,0500000US27063
27065,0500000US27065
27067,0500000US27067
27069,0500000US27069
27071,0500000US27071
27073,0500000US27073
27075,0500000US27075
27077,0500000US27077
27079,0500000US27079
27081,0500000US27081
27083,0500000US27083
27085,0500000US27085
27087,0500000US27087
27089,0500000US27089
27091,0500000US27091
27093,0500000US27093
27095,0500000US27095
27097,0500000US27097
27099,0500000US27099
27101,0500000US27101
27103,0500000US27103
27105,0500000US27105
27107,0500000US27107
27109,0500000US27109
27111,0500000US27111
27113,0500000US27113
27115,0500000US27115
27117,0500000US27117
27119,0500000US27119
27121,0500000US27121
27123,0500000US27123
27125,0500000US27125
27127,0500000US27127
27129,0500000US27129
27131,0500000US27131
27133,0500000US27133
27135,0500000US27135
27137,0500000US27137
27139,0500000US27139
27141,0500000US27141
27143,0500000US27143
27145,0500000US27145
27147,0500000US27147
27149,0500000US27149
27151,0500000US27151
27153,0500000US27153
27155,0500000US27155
27157,0500000US27157
